clip,start,end,duration,left_word,right_word,gap_dbfs,peak_delta,active_seconds,guess,decision
01-0003.34-breath_or_room_sound.wav,3.34,4.0,0.6600000000000001,"papers,",you,-15.897025933969942,0.9515185952186584,0.49,BREATH_OR_ROOM_SOUND,
02-0194.04-breath_or_room_sound.wav,194.04,194.48,0.4399999999999977,"options,",and,-14.180716741740262,0.774603009223938,0.39,BREATH_OR_ROOM_SOUND,
03-0149.02-breath_or_room_sound.wav,149.02,149.76,0.7399999999999807,"conversation,",human,-16.102588268968386,0.6579161882400513,0.39,BREATH_OR_ROOM_SOUND,
04-0110.24-breath_or_room_sound.wav,110.24,110.7,0.46000000000000796,"pleasant,",and,-17.671946891749176,0.9440129399299622,0.38,BREATH_OR_ROOM_SOUND,
05-0160.22-breath_or_room_sound.wav,160.22,161.1,0.8799999999999955,intentions.,Over,-19.135405652962614,0.8595702648162842,0.39,BREATH_OR_ROOM_SOUND,
06-0124.32-breath_or_room_sound.wav,124.32,125.24,0.9200000000000017,whatsoever.,The,-19.326080497123453,1.0610485076904297,0.39,BREATH_OR_ROOM_SOUND,
07-0021.04-breath_or_room_sound.wav,21.04,21.68,0.6400000000000006,colleges.,They,-21.565700465055716,0.8561810255050659,0.5,BREATH_OR_ROOM_SOUND,
08-0058.94-breath_or_room_sound.wav,58.94,59.46,0.5200000000000031,"Michigan,",nobody,-15.363111261325193,0.17973953485488892,0.29,BREATH_OR_ROOM_SOUND,
09-0192.92-breath_or_room_sound.wav,192.92,193.32,0.4000000000000057,"facts,",map,-19.08320972070895,0.5757546424865723,0.29,BREATH_OR_ROOM_SOUND,
10-0162.28-breath_or_room_sound.wav,162.28,162.64,0.3599999999999852,"years,",that,-18.642686513714338,0.7953765392303467,0.25,BREATH_OR_ROOM_SOUND,
11-0065.22-breath_or_room_sound.wav,65.22,66.18,0.960000000000008,observation.,She,-21.48818344863356,0.3935054540634155,0.37,BREATH_OR_ROOM_SOUND,
12-0027.84-breath_or_room_sound.wav,27.84,28.38,0.5399999999999991,University.,We,-24.341403820156483,0.5314710736274719,0.53,BREATH_OR_ROOM_SOUND,
13-0135.12-breath_or_room_sound.wav,135.12,135.98,0.8599999999999852,understood.,They,-22.575842346375733,0.7854838371276855,0.31,BREATH_OR_ROOM_SOUND,
14-0201.06-breath_or_room_sound.wav,201.06,201.56,0.5,"matters,",take,-20.496639204148778,0.6681547164916992,0.2,BREATH_OR_ROOM_SOUND,
15-0041.04-breath_or_room_sound.wav,41.04,41.74,0.7000000000000028,campus.,We,-21.494114941699237,1.1598666906356812,0.24,BREATH_OR_ROOM_SOUND,
16-0114.00-breath_or_room_sound.wav,114.0,114.68,0.6800000000000068,advice.,We,-22.096584915769174,0.6343793869018555,0.21,BREATH_OR_ROOM_SOUND,
17-0024.86-breath_or_room_sound.wav,24.86,25.36,0.5,"Michigan,",or,-21.841042236938204,0.14886105060577393,0.45,BREATH_OR_ROOM_SOUND,
18-0088.88-breath_or_room_sound.wav,88.88,89.6,0.7199999999999989,teenager.,It,-22.962437636301157,0.5177932977676392,0.24,BREATH_OR_ROOM_SOUND,
19-0155.10-breath_or_room_sound.wav,155.1,156.04,0.9399999999999977,biology.,Early,-24.61637728704449,0.3084552586078644,0.29,BREATH_OR_ROOM_SOUND,
20-0121.82-breath_or_room_sound.wav,121.82,122.42,0.6000000000000085,Eliza.,Eliza,-21.821033605979917,1.058205246925354,0.15,BREATH_OR_ROOM_SOUND,
21-0169.38-breath_or_room_sound.wav,169.38,169.9,0.5200000000000102,"toast,",and,-21.22668505826885,0.8716398477554321,0.12,BREATH_OR_ROOM_SOUND,
22-0102.34-breath_or_room_sound.wav,102.34,102.74,0.3999999999999915,"smooth,",and,-17.09620894614868,0.13549527525901794,0.23,BREATH_OR_ROOM_SOUND,
23-0173.24-breath_or_room_sound.wav,173.24,173.98,0.7399999999999807,cars.,"Now,",-22.656102577842635,0.8417243957519531,0.18,BREATH_OR_ROOM_SOUND,
24-0078.02-breath_or_room_sound.wav,78.02,78.94,0.9200000000000017,response.,Great,-23.51085823250848,0.9117436408996582,0.22,BREATH_OR_ROOM_SOUND,
25-0165.04-breath_or_room_sound.wav,165.04,165.62,0.5800000000000125,position.,It,-24.78441382331753,0.27367347478866577,0.27,BREATH_OR_ROOM_SOUND,
26-0017.62-breath_or_room_sound.wav,17.62,18.16,0.5399999999999991,is.,Imagine,-22.05760512715743,0.8358311653137207,0.12,BREATH_OR_ROOM_SOUND,
27-0032.98-breath_or_room_sound.wav,32.98,33.52,0.5400000000000063,"places,",out,-22.16945417740208,1.025394082069397,0.12,BREATH_OR_ROOM_SOUND,
28-0079.38-breath_or_room_sound.wav,79.38,79.94,0.5600000000000023,question.,Michigan,-22.525469927361176,0.2979040741920471,0.13,BREATH_OR_ROOM_SOUND,
29-0095.04-breath_or_room_sound.wav,95.04,95.7,0.6599999999999966,text.,But,-22.72507979924618,0.6988278031349182,0.13,BREATH_OR_ROOM_SOUND,
30-0128.74-breath_or_room_sound.wav,128.74,129.24,0.5,"typed,",and,-22.630459682350374,0.21257337927818298,0.11,BREATH_OR_ROOM_SOUND,
31-0166.58-breath_or_room_sound.wav,166.58,167.22,0.6399999999999864,constantly.,You,-27.152243570738015,0.34879058599472046,0.3,BREATH_OR_ROOM_SOUND,
32-0068.12-breath_or_room_sound.wav,68.12,68.44,0.3199999999999932,"pressure,",and,-16.6938214955833,0.12125874310731888,0.17,BREATH_OR_ROOM_SOUND,
33-0188.88-breath_or_room_sound.wav,188.88,189.5,0.6200000000000045,person.,So,-24.71373639237955,0.9670616388320923,0.17,BREATH_OR_ROOM_SOUND,
34-0118.36-breath_or_room_sound.wav,118.36,118.6,0.23999999999999488,"then,",researchers,-16.261823777911644,0.10415052622556686,0.2,BREATH_OR_ROOM_SOUND,
35-0046.46-breath_or_room_sound.wav,46.46,47.4,0.9399999999999977,trusting.,The,-25.348707214035766,0.8111526370048523,0.17,BREATH_OR_ROOM_SOUND,
36-0106.20-breath_or_room_sound.wav,106.2,106.78,0.5799999999999983,trap.,We,-25.314549001642455,0.3081033229827881,0.09,BREATH_OR_ROOM_SOUND,
37-0100.98-breath_or_room_sound.wav,100.98,101.32,0.3399999999999892,"upbeat,",structurally,-16.494891063771245,0.08996462821960449,0.19,BREATH_OR_ROOM_SOUND,
38-0198.00-breath_or_room_sound.wav,198.0,198.8,0.8000000000000114,decision.,When,-27.574383290019128,0.34365150332450867,0.19,BREATH_OR_ROOM_SOUND,
