silence_start: 0	silence_end: 0.309417
silence_start: 1.286729	silence_end: 1.736104
silence_start: 5.866104	silence_end: 6.352208
silence_start: 8.536958	silence_end: 9.01875
silence_start: 11.634208	silence_end: 12.191729
silence_start: 15.149875	silence_end: 15.842354
silence_start: 20.326083	silence_end: 20.693333
silence_start: 25.946604	silence_end: 27.525271
silence_start: 29.511083	silence_end: 29.858917
silence_start: 33.778479	silence_end: 34.164792
silence_start: 36.382271	silence_end: 36.789833
silence_start: 40.250333	silence_end: 40.688708
silence_start: 42.539229	silence_end: 43.00475
silence_start: 46.710812	silence_end: 47.102125
silence_start: 50.067771	silence_end: 50.413062
silence_start: 54.671708	silence_end: 55.091333
silence_start: 57.613229	silence_end: 58.100604
silence_start: 61.424729	silence_end: 62.002
silence_start: 64.506646	silence_end: 64.827104
silence_start: 67.399021	silence_end: 67.890458
silence_start: 72.120333	silence_end: 73.787333
silence_start: 76.626917	silence_end: 77.216333
silence_start: 80.254208	silence_end: 80.832521
silence_start: 83.1305	silence_end: 83.481875
silence_start: 86.580479	silence_end: 87.286042
silence_start: 91.407938	silence_end: 93.035812
silence_start: 95.472021	silence_end: 95.949021
silence_start: 100.359292	silence_end: 100.784979
silence_start: 104.212583	silence_end: 104.512729
silence_start: 106.939479	silence_end: 107.383104
silence_start: 109.544229	silence_end: 109.978083
silence_start: 112.56925	silence_end: 113.055125
silence_start: 115.184521	silence_end: 115.685833
silence_start: 118.966896	silence_end: 120.536062
silence_start: 123.182021	silence_end: 123.740708
silence_start: 129.903896	silence_end: 130.458313
silence_start: 133.557729	silence_end: 134.135146
silence_start: 138.366583	silence_end: 138.921417
silence_start: 140.557854	silence_end: 142.004104
silence_start: 142.998083	silence_end: 143.405812
silence_start: 144.745354	silence_end: 148.778667
