clip,start,end,duration,left_word,right_word,gap_dbfs,peak_delta,active_seconds,guess,decision
01-0006.70-breath_or_room_sound.wav,6.7,7.32,0.6200000000000001,"curiosity,",you've,-21.88545923733837,0.2015816569328308,0.45,BREATH_OR_ROOM_SOUND,
02-0118.58-breath_or_room_sound.wav,118.58,119.04,0.46000000000000796,scratch.,"Sometimes,",-19.251532698545375,0.2228468805551529,0.23,BREATH_OR_ROOM_SOUND,
03-0137.32-breath_or_room_sound.wav,137.32,138.14,0.8199999999999932,report.,So,-20.754797457503326,0.20924122631549835,0.3,BREATH_OR_ROOM_SOUND,
04-0269.00-breath_or_room_sound.wav,269.0,269.3,0.30000000000001137,"honestly,",the,-20.071728552137138,0.355621337890625,0.24,BREATH_OR_ROOM_SOUND,
05-0328.74-breath_or_room_sound.wav,328.74,329.28,0.5399999999999636,exist?,And,-19.90873116375361,0.25094854831695557,0.23,BREATH_OR_ROOM_SOUND,
06-0065.30-breath_or_room_sound.wav,65.3,65.68,0.38000000000000966,"percentage,",and,-20.659731224273973,0.22452792525291443,0.24,BREATH_OR_ROOM_SOUND,
07-0274.74-breath_or_room_sound.wav,274.74,274.96,0.21999999999997044,"Instead,",the,-14.944909612882553,0.16050763428211212,0.15,BREATH_OR_ROOM_SOUND,
08-0310.42-breath_or_room_sound.wav,310.42,310.86,0.4399999999999977,"citation,",that,-19.425530838914455,0.16726218163967133,0.32,BREATH_OR_ROOM_SOUND,
09-0100.72-breath_or_room_sound.wav,100.72,101.34,0.6200000000000045,hallucination.,"Basically,",-22.698296973173427,0.184800922870636,0.39,BREATH_OR_ROOM_SOUND,
10-0037.30-breath_or_room_sound.wav,37.3,37.82,0.5200000000000031,"chemistry,",or,-22.314558497760416,0.3140452802181244,0.27,BREATH_OR_ROOM_SOUND,
11-0123.46-breath_or_room_sound.wav,123.46,123.82,0.35999999999999943,real.,And,-18.129160467682745,0.15692952275276184,0.27,BREATH_OR_ROOM_SOUND,
12-0140.70-breath_or_room_sound.wav,140.7,140.92,0.21999999999999886,"Well,",there,-16.298127144461397,0.16332335770130157,0.11,BREATH_OR_ROOM_SOUND,
13-0039.80-breath_or_room_sound.wav,39.8,40.54,0.740000000000002,"AI,",it,-22.59134234323255,0.1807071566581726,0.33,BREATH_OR_ROOM_SOUND,
14-0206.68-breath_or_room_sound.wav,206.68,206.98,0.29999999999998295,"bizarre,",but,-15.187586646376337,0.12050475180149078,0.26,BREATH_OR_ROOM_SOUND,
15-0329.80-breath_or_room_sound.wav,329.8,330.14,0.339999999999975,"does,",does,-22.532048413999842,0.19931544363498688,0.23,BREATH_OR_ROOM_SOUND,
16-0080.38-breath_or_room_sound.wav,80.38,80.68,0.30000000000001137,18%.,It,-22.33368149282457,0.46314704418182373,0.19,BREATH_OR_ROOM_SOUND,
17-0236.62-breath_or_room_sound.wav,236.62,237.02,0.4000000000000057,"advice,",totally,-24.35397835728512,0.24186111986637115,0.24,BREATH_OR_ROOM_SOUND,
18-0220.48-breath_or_room_sound.wav,220.48,221.02,0.5400000000000205,sauce.,"Yeah,",-23.40200231362589,0.5123578906059265,0.18,BREATH_OR_ROOM_SOUND,
19-0300.60-breath_or_room_sound.wav,300.6,300.98,0.37999999999999545,"number,",or,-17.22136284771852,0.10108077526092529,0.34,BREATH_OR_ROOM_SOUND,
20-0101.62-breath_or_room_sound.wav,101.62,101.8,0.1799999999999926,"Basically,",a,-18.45497369918498,0.14858588576316833,0.16,BREATH_OR_ROOM_SOUND,
21-0044.46-breath_or_room_sound.wav,44.46,44.86,0.3999999999999986,"says,",great,-23.831399857259456,0.3147681653499603,0.16,BREATH_OR_ROOM_SOUND,
22-0212.56-breath_or_room_sound.wav,212.56,213.14,0.5799999999999841,"pizza,",an,-24.231769180704937,0.4279022812843323,0.18,BREATH_OR_ROOM_SOUND,
23-0302.00-breath_or_room_sound.wav,302.0,302.98,0.9800000000000182,verify.,Step,-26.50106077459675,0.4689001441001892,0.27,BREATH_OR_ROOM_SOUND,
24-0307.06-breath_or_room_sound.wav,307.06,307.36,0.30000000000001137,"article,",or,-19.85143831354624,0.1388900876045227,0.24,BREATH_OR_ROOM_SOUND,
25-0189.46-breath_or_room_sound.wav,189.46,189.74,0.28000000000000114,"hey,",here's,-19.252447641831633,0.15516436100006104,0.12,BREATH_OR_ROOM_SOUND,
26-0221.94-breath_or_room_sound.wav,221.94,222.64,0.6999999999999886,glue.,"Now,",-21.15327676088048,0.10568493604660034,0.45,BREATH_OR_ROOM_SOUND,
27-0127.30-breath_or_room_sound.wav,127.3,127.82,0.519999999999996,spot.,You,-19.357404663698603,0.13354918360710144,0.19,BREATH_OR_ROOM_SOUND,
28-0119.38-breath_or_room_sound.wav,119.38,119.52,0.14000000000000057,"Sometimes,",it,-16.75948535377472,0.11579713225364685,0.14,BREATH_OR_ROOM_SOUND,
29-0074.94-breath_or_room_sound.wav,74.94,75.16,0.21999999999999886,"mean,",Stanford,-25.122437381144735,0.44508588314056396,0.09,BREATH_OR_ROOM_SOUND,
30-0076.58-breath_or_room_sound.wav,76.58,77.16,0.5799999999999983,obviously.,The,-27.800956290752467,0.35671254992485046,0.21,BREATH_OR_ROOM_SOUND,
31-0025.14-breath_or_room_sound.wav,25.14,25.6,0.46000000000000085,this.,You're,-27.5992240491015,0.2796807289123535,0.18,BREATH_OR_ROOM_SOUND,
32-0112.16-breath_or_room_sound.wav,112.16,112.46,0.29999999999999716,"deliberately,",and,-21.142243696184533,0.1165967732667923,0.25,BREATH_OR_ROOM_SOUND,
33-0128.00-breath_or_room_sound.wav,128.0,128.24,0.2400000000000091,"see,",that,-23.133573697782236,0.15941937267780304,0.12,BREATH_OR_ROOM_SOUND,
34-0151.44-breath_or_room_sound.wav,151.44,151.86,0.4200000000000159,"jokes,",and,-21.0867448496059,0.12678058445453644,0.18,BREATH_OR_ROOM_SOUND,
35-0308.46-breath_or_room_sound.wav,308.46,308.82,0.36000000000001364,"remember,",just,-19.628859938277966,0.10995105654001236,0.19,BREATH_OR_ROOM_SOUND,
36-0029.90-breath_or_room_sound.wav,29.9,30.26,0.360000000000003,"chatbot,",and,-20.021783547946946,0.12732082605361938,0.12,BREATH_OR_ROOM_SOUND,
37-0299.92-breath_or_room_sound.wav,299.92,300.24,0.3199999999999932,"fact,","number,",-22.015250290322037,0.14114411175251007,0.15,BREATH_OR_ROOM_SOUND,
38-0234.08-breath_or_room_sound.wav,234.08,234.48,0.39999999999997726,"comment,",completely,-23.229630881802215,0.14556343853473663,0.18,BREATH_OR_ROOM_SOUND,
39-0244.28-breath_or_room_sound.wav,244.28,244.6,0.3199999999999932,"case,",the,-28.446434157085605,0.20521366596221924,0.16,BREATH_OR_ROOM_SOUND,
40-0194.18-breath_or_room_sound.wav,194.18,194.74,0.5600000000000023,hallucination.,People,-25.376911495777875,0.14884263277053833,0.25,BREATH_OR_ROOM_SOUND,
41-0146.12-blip_candidate.wav,146.12,146.28,0.1599999999999966,"off,",it,-18.19818392341539,0.1104101911187172,0.08,BLIP_CANDIDATE,
42-0204.66-breath_or_room_sound.wav,204.66,205.08,0.4200000000000159,source.,Let's,-28.655151440434675,0.2508241832256317,0.14,BREATH_OR_ROOM_SOUND,
43-0303.26-breath_or_room_sound.wav,303.26,303.7,0.4399999999999977,"two,",find,-20.91079809441837,0.11536650359630585,0.14,BREATH_OR_ROOM_SOUND,
44-0064.26-breath_or_room_sound.wav,64.26,64.44,0.1799999999999926,"size,",an,-28.492400667794463,0.25115635991096497,0.09,BREATH_OR_ROOM_SOUND,
45-0130.38-breath_or_room_sound.wav,130.38,130.86,0.4800000000000182,nowhere.,The,-18.75426760403981,0.08397997915744781,0.18,BREATH_OR_ROOM_SOUND,
46-0105.94-breath_or_room_sound.wav,105.94,106.22,0.28000000000000114,"true,",but,-16.51166167410904,0.0684557855129242,0.13,BREATH_OR_ROOM_SOUND,
47-0033.96-blip_candidate.wav,33.96,34.32,0.35999999999999943,"ask,",will,-28.505930181452644,0.3970649242401123,0.07,BLIP_CANDIDATE,
48-0221.34-breath_or_room_sound.wav,221.34,221.68,0.3400000000000034,"Yeah,",glue.,-24.116569503169192,0.15033258497714996,0.09,BREATH_OR_ROOM_SOUND,
49-0024.20-blip_candidate.wav,24.2,24.56,0.35999999999999943,"Okay,",picture,-25.169060753468244,0.1619945764541626,0.07,BLIP_CANDIDATE,
50-0229.42-breath_or_room_sound.wav,229.42,229.8,0.3800000000000239,"Reddit,",one,-27.260028381099524,0.17035898566246033,0.13,BREATH_OR_ROOM_SOUND,
51-0264.94-blip_candidate.wav,264.94,265.12,0.18000000000000682,says.,They,-29.030241091427605,0.21328717470169067,0.07,BLIP_CANDIDATE,
52-0059.46-breath_or_room_sound.wav,59.46,59.64,0.17999999999999972,"helpful,",right?,-20.088888371359204,0.0839686244726181,0.18,BREATH_OR_ROOM_SOUND,
53-0015.58-breath_or_room_sound.wav,15.58,16.42,0.8400000000000016,hallucinations.,We're,-30.31289776502973,0.1613132357597351,0.29,BREATH_OR_ROOM_SOUND,
54-0090.16-breath_or_room_sound.wav,90.16,90.72,0.5600000000000023,trust.,But,-30.984069818692962,0.20896363258361816,0.13,BREATH_OR_ROOM_SOUND,
55-0004.38-breath_or_room_sound.wav,4.38,4.74,0.3600000000000003,"research,",or,-20.900192348468217,0.07039357721805573,0.27,BREATH_OR_ROOM_SOUND,
