== course-assets/embrace-the-future-opener/embrace-the-future-opener.mp4
0 0.264444 0.264444
8.664218 9.02449 0.360272
11.737846 12.055261 0.317415
16.37771 16.707347 0.329637
19.988662 20.327324 0.338662
21.817732 22.239342 0.42161
23.684853 24.072562 0.38771
25.173424 25.700975 0.527551
26.916735 27.333401 0.416667
28.296553 28.58424 0.287687
32.706599 33.091247 0.384649
39.84966 40.146009 0.296349
43.42127 43.822426 0.401156
46.143764 46.501474 0.35771
52.18415 52.719751 0.535601
57.180771 57.708141 0.52737
60.973673 61.394921 0.421247
64.715283 64.997823 0.28254
69.941905 70.454807 0.512902
74.948707 75.388503 0.439796
80.6739 81.107551 0.433651
82.352721 82.792177 0.439456
84.739093 85.096213 0.35712
90.083855 90.537143 0.453288
92.71102 93.029365 0.318345
95.178526 95.696531 0.518005
100.346961 100.700408 0.353447
102.075238 102.407279 0.332041
103.374467 103.952653 0.578186
109.160408 109.491542 0.331134
113.9461 114.232789 0.286689
116.334966 116.837166 0.5022
121.62576 122.104399 0.478639
124.216531 124.479048 0.262517
128.657619 129.058639 0.40102
134.818526 135.326463 0.507937
142.434989 143.050567 0.615578
147.016531 147.341542 0.325011
151.344943 151.860726 0.515782
157.063991 157.603651 0.53966
160.536667 160.976893 0.440227
162.776485 163.138685 0.3622
165.243379 168.553651 3.310272
== course-assets/understand-ai-opener/understand-ai-opener.mp4
11.399896 11.795875 0.395979
19.760542 20.043812 0.283271
25.345021 25.679562 0.334542
29.528646 30.774875 1.246229
35.351312 35.720333 0.369021
37.194417 37.478125 0.283708
41.443438 41.725271 0.281833
49.264083 49.597542 0.333458
51.604417 52.026979 0.422563
57.343229 57.677667 0.334437
64.144479 65.419083 1.274604
67.951125 68.204417 0.253292
79.715917 80.951854 1.235937
83.839083 84.193354 0.354271
92.529313 92.892604 0.363292
95.075833 95.338333 0.2625
99.937854 100.267313 0.329458
108.252125 108.531542 0.279417
110.728542 111.272354 0.543813
118.895437 119.721479 0.826042
122.127271 122.471292 0.344021
128.414646 129.287021 0.872375
132.857604 133.232542 0.374937
138.678937 140.029438 1.3505
141.962583 142.571896 0.609313
143.743958 148.053333 4.309375
