clip,start,end,duration,left_word,right_word,gap_dbfs,peak_delta,active_seconds,guess,decision
01-0101.30-breath_or_room_sound.wav,101.3,102.34,1.0400000000000063,psychology.,Most,-15.983949486011655,0.28074711561203003,0.49,BREATH_OR_ROOM_SOUND,
02-0105.24-breath_or_room_sound.wav,105.24,106.24,1.0,reasons.,"Money,",-15.33482961933463,0.6643292903900146,0.41000000000000003,BREATH_OR_ROOM_SOUND,
03-0148.90-breath_or_room_sound.wav,148.9,149.52,0.6200000000000045,checklists.,That,-20.562467790527368,1.0089904069900513,0.58,BREATH_OR_ROOM_SOUND,
04-0158.50-breath_or_room_sound.wav,158.5,159.18,0.6800000000000068,"validation,",is,-20.593920829041558,0.3067649006843567,0.41000000000000003,BREATH_OR_ROOM_SOUND,
05-0077.92-breath_or_room_sound.wav,77.92,78.76,0.8400000000000034,liability.,To,-20.566551271497858,0.17758730053901672,0.68,BREATH_OR_ROOM_SOUND,
06-0155.04-breath_or_room_sound.wav,155.04,155.66,0.6200000000000045,"emotion,",whether,-19.908016417576494,0.28860679268836975,0.35000000000000003,BREATH_OR_ROOM_SOUND,
07-0181.44-breath_or_room_sound.wav,181.44,181.98,0.539999999999992,"locations,",not,-22.933920855992916,0.6499145030975342,0.49,BREATH_OR_ROOM_SOUND,
08-0053.78-breath_or_room_sound.wav,53.78,54.48,0.6999999999999957,"announcement,",the,-19.05711854867548,0.7802388072013855,0.26,BREATH_OR_ROOM_SOUND,
09-0038.44-breath_or_room_sound.wav,38.44,38.8,0.35999999999999943,"face,",his,-19.853229314379945,0.4275364875793457,0.29,BREATH_OR_ROOM_SOUND,
10-0039.16-breath_or_room_sound.wav,39.16,39.58,0.4200000000000017,"voice,",the,-20.529450627609446,0.36734169721603394,0.3,BREATH_OR_ROOM_SOUND,
11-0242.22-breath_or_room_sound.wav,242.22,243.14,0.9199999999999875,shift.,Seeing,-19.434928427008217,1.1642075777053833,0.24,BREATH_OR_ROOM_SOUND,
12-0037.02-breath_or_room_sound.wav,37.02,37.28,0.259999999999998,clips',"pixels,",-18.793200989220654,0.5214508175849915,0.16,BREATH_OR_ROOM_SOUND,
13-0223.90-breath_or_room_sound.wav,223.9,224.32,0.4199999999999875,"Instead,",screenshot,-20.56004076773211,0.3798069655895233,0.22,BREATH_OR_ROOM_SOUND,
14-0088.78-breath_or_room_sound.wav,88.78,89.56,0.7800000000000011,malicious.,A,-22.41944265830317,0.6971539258956909,0.27,BREATH_OR_ROOM_SOUND,
15-0116.92-breath_or_room_sound.wav,116.92,117.6,0.6799999999999926,"cruelty,",where,-21.205253401777696,0.3991870880126953,0.18,BREATH_OR_ROOM_SOUND,
16-0042.12-breath_or_room_sound.wav,42.12,42.54,0.4200000000000017,"talks,",you,-22.05273969520818,0.523412823677063,0.22,BREATH_OR_ROOM_SOUND,
17-0163.70-breath_or_room_sound.wav,163.7,164.12,0.4200000000000159,"hits,",run,-21.434391695186527,0.6533446907997131,0.18,BREATH_OR_ROOM_SOUND,
18-0216.60-breath_or_room_sound.wav,216.6,217.54,0.9399999999999977,isolation.,Your,-25.82707771170412,0.235233873128891,0.39,BREATH_OR_ROOM_SOUND,
19-0161.86-breath_or_room_sound.wav,161.86,162.84,0.9799999999999898,verifying.,When,-25.433771328552794,0.2693079113960266,0.33,BREATH_OR_ROOM_SOUND,
20-0037.50-breath_or_room_sound.wav,37.5,37.98,0.4799999999999969,"pixels,",his,-22.428309828224787,0.6771760582923889,0.17,BREATH_OR_ROOM_SOUND,
21-0152.72-breath_or_room_sound.wav,152.72,153.74,1.0200000000000102,biology.,A,-25.93704891158708,0.37188100814819336,0.33,BREATH_OR_ROOM_SOUND,
22-0071.70-breath_or_room_sound.wav,71.7,72.1,0.3999999999999915,"event,",simply,-22.966682765066132,0.6254697442054749,0.17,BREATH_OR_ROOM_SOUND,
23-0132.40-breath_or_room_sound.wav,132.4,133.16,0.7599999999999909,guess.,The,-23.58989375133154,0.6264728307723999,0.2,BREATH_OR_ROOM_SOUND,
24-0039.80-breath_or_room_sound.wav,39.8,40.56,0.7600000000000051,hallway.,Because,-20.471474974454548,0.1564582884311676,0.26,BREATH_OR_ROOM_SOUND,
25-0008.40-breath_or_room_sound.wav,8.4,9.46,1.0600000000000005,ubiquitous.,The,-25.30656075940227,0.5349984169006348,0.27,BREATH_OR_ROOM_SOUND,
26-0165.48-breath_or_room_sound.wav,165.48,166.38,0.9000000000000057,checklist.,Step,-23.906399055349898,0.6136527061462402,0.19,BREATH_OR_ROOM_SOUND,
27-0086.82-breath_or_room_sound.wav,86.82,87.02,0.20000000000000284,"Now,",not,-13.897140459465296,0.11084914207458496,0.13,BREATH_OR_ROOM_SOUND,
28-0127.84-breath_or_room_sound.wav,127.84,128.5,0.6599999999999966,fakes.,But,-23.2517590094867,0.8069125413894653,0.15,BREATH_OR_ROOM_SOUND,
29-0079.94-breath_or_room_sound.wav,79.94,80.54,0.6000000000000085,"environment,",we,-26.858285985936025,0.44907641410827637,0.3,BREATH_OR_ROOM_SOUND,
30-0172.52-breath_or_room_sound.wav,172.52,173.2,0.6799999999999784,context.,Do,-24.426819540629523,0.6032319068908691,0.15,BREATH_OR_ROOM_SOUND,
