clip,start,end,duration,left_word,right_word,gap_dbfs,peak_delta,active_seconds,guess,decision
01-0104.44-breath_or_room_sound.wav,104.44,105.02,0.5799999999999983,"passes,",but,-20.56872073582412,0.9125661849975586,0.51,BREATH_OR_ROOM_SOUND,
02-0059.22-breath_or_room_sound.wav,59.22,59.82,0.6000000000000014,"ambiguous,",meaning,-20.379037692654983,0.6475857496261597,0.46,BREATH_OR_ROOM_SOUND,
03-0046.60-breath_or_room_sound.wav,46.6,47.0,0.3999999999999986,"layers,",to,-18.5233893299828,0.6164214611053467,0.26,BREATH_OR_ROOM_SOUND,
04-0065.94-breath_or_room_sound.wav,65.94,66.72,0.7800000000000011,"operations,",attention,-19.952926729746896,0.6553258895874023,0.33,BREATH_OR_ROOM_SOUND,
05-0032.90-breath_or_room_sound.wav,32.9,33.18,0.28000000000000114,"pass,",your,-20.418417765599646,0.4764766991138458,0.24,BREATH_OR_ROOM_SOUND,
06-0158.14-breath_or_room_sound.wav,158.14,158.46,0.3200000000000216,"times,",at,-20.500835413410012,0.7253743410110474,0.22,BREATH_OR_ROOM_SOUND,
07-0078.52-breath_or_room_sound.wav,78.52,79.0,0.480000000000004,"mat,","may,",-19.46713067655067,0.3762769103050232,0.16,BREATH_OR_ROOM_SOUND,
08-0085.80-breath_or_room_sound.wav,85.8,86.2,0.4000000000000057,"applied,",producing,-15.2522632796091,0.13137805461883545,0.24,BREATH_OR_ROOM_SOUND,
09-0079.06-breath_or_room_sound.wav,79.06,79.46,0.3999999999999915,"may,",and,-16.180922324589325,0.13238918781280518,0.28,BREATH_OR_ROOM_SOUND,
10-0097.42-breath_or_room_sound.wav,97.42,97.86,0.4399999999999977,"breakdown,",you,-23.066588717194605,0.3914421796798706,0.23,BREATH_OR_ROOM_SOUND,
11-0001.72-breath_or_room_sound.wav,1.72,2.56,0.8400000000000001,sentence.,The,-24.31208184655093,0.5799443125724792,0.25,BREATH_OR_ROOM_SOUND,
12-0045.86-breath_or_room_sound.wav,45.86,46.18,0.3200000000000003,"steps,",called,-22.914820695010025,0.4646937847137451,0.18,BREATH_OR_ROOM_SOUND,
13-0156.38-breath_or_room_sound.wav,156.38,156.88,0.5,"arithmetic,",repeated,-23.596117588188473,0.8173015117645264,0.19,BREATH_OR_ROOM_SOUND,
14-0144.02-breath_or_room_sound.wav,144.02,144.7,0.6799999999999784,"biology,",mimicking,-25.778052931930105,0.2788394093513489,0.27,BREATH_OR_ROOM_SOUND,
15-0124.66-breath_or_room_sound.wav,124.66,125.04,0.38000000000000966,"point,",extra,-22.505942371561808,0.1928362250328064,0.13,BREATH_OR_ROOM_SOUND,
16-0030.88-breath_or_room_sound.wav,30.88,31.18,0.3000000000000007,"barn,",the,-18.07151378074075,0.12015019357204437,0.23,BREATH_OR_ROOM_SOUND,
17-0122.82-breath_or_room_sound.wav,122.82,123.52,0.7000000000000028,layers.,Past,-25.336229660144024,0.5333749055862427,0.19,BREATH_OR_ROOM_SOUND,
18-0062.14-blip_candidate.wav,62.14,62.44,0.29999999999999716,cat.,At,-23.538609464587278,0.6971347332000732,0.08,BLIP_CANDIDATE,KEEP
19-0075.70-breath_or_room_sound.wav,75.7,76.46,0.7599999999999909,text.,It,-25.038775942668202,0.7577247619628906,0.13,BREATH_OR_ROOM_SOUND,
20-0150.34-breath_or_room_sound.wav,150.34,151.1,0.7599999999999909,ends.,A,-25.8623536292089,0.7700347900390625,0.16,BREATH_OR_ROOM_SOUND,
21-0035.70-breath_or_room_sound.wav,35.7,36.42,0.7199999999999989,sense.,An,-26.57495708603178,0.4150913655757904,0.17,BREATH_OR_ROOM_SOUND,
22-0050.28-breath_or_room_sound.wav,50.28,50.9,0.6199999999999974,sentence.,The,-26.502859366811432,0.47470879554748535,0.15,BREATH_OR_ROOM_SOUND,
23-0042.06-breath_or_room_sound.wav,42.06,42.58,0.519999999999996,"ambiguity,",the,-16.925402426242844,0.07462672889232635,0.23,BREATH_OR_ROOM_SOUND,
24-0090.42-breath_or_room_sound.wav,90.42,90.96,0.539999999999992,"two,",then,-18.170565247031757,0.10891549289226532,0.12,BREATH_OR_ROOM_SOUND,
25-0020.56-breath_or_room_sound.wav,20.56,21.4,0.8399999999999999,timeline.,Did,-24.34052113923275,0.14771738648414612,0.23,BREATH_OR_ROOM_SOUND,
26-0055.38-blip_candidate.wav,55.38,55.84,0.46000000000000085,it.,On,-26.607350126815106,0.48083171248435974,0.06,BLIP_CANDIDATE,KEEP
27-0153.70-breath_or_room_sound.wav,153.7,154.4,0.700000000000017,thinking.,It,-27.92692575015638,0.18657910823822021,0.18,BREATH_OR_ROOM_SOUND,
28-0159.36-breath_or_room_sound.wav,159.36,160.62,1.259999999999991,speed.,Meaning,-31.951323457318534,0.21004165709018707,0.3,BREATH_OR_ROOM_SOUND,
29-0079.96-breath_or_room_sound.wav,79.96,80.52,0.5600000000000023,"rainstorm,",and,-22.61472376926864,0.12637054920196533,0.18,BREATH_OR_ROOM_SOUND,
30-0024.04-breath_or_room_sound.wav,24.04,24.86,0.8200000000000003,afterward?,Then,-22.009060780317956,0.10309222340583801,0.25,BREATH_OR_ROOM_SOUND,
