clip,start,end,duration,left_word,right_word,gap_dbfs,peak_delta,active_seconds,guess,decision
01-0152.30-breath_or_room_sound.wav,152.3,152.68,0.37999999999999545,"pages,",and,-12.783931357393527,0.5861928462982178,0.34,BREATH_OR_ROOM_SOUND,
02-0150.84-breath_or_room_sound.wav,150.84,151.32,0.47999999999998977,"chats,",unscent,-16.511105008974504,0.7382956147193909,0.3,BREATH_OR_ROOM_SOUND,
03-0129.82-breath_or_room_sound.wav,129.82,130.44,0.6200000000000045,"projects,",which,-19.34476687998919,0.473578542470932,0.3,BREATH_OR_ROOM_SOUND,
04-0051.36-breath_or_room_sound.wav,51.36,51.92,0.5600000000000023,trucks.,When,-22.655792128356715,0.6435407996177673,0.45,BREATH_OR_ROOM_SOUND,
05-0066.34-breath_or_room_sound.wav,66.34,66.74,0.3999999999999915,"context,",AI,-18.121819616641304,0.8798264265060425,0.22,BREATH_OR_ROOM_SOUND,
06-0043.90-breath_or_room_sound.wav,43.9,44.82,0.9200000000000017,responses.,The,-21.765349281325484,0.7675442695617676,0.33,BREATH_OR_ROOM_SOUND,
07-0067.82-breath_or_room_sound.wav,67.82,68.68,0.8600000000000136,answers.,To,-20.955128508324194,1.0211927890777588,0.28,BREATH_OR_ROOM_SOUND,
08-0103.02-breath_or_room_sound.wav,103.02,104.04,1.0200000000000102,chats.,Personalization,-21.190852266868788,0.37425774335861206,0.28,BREATH_OR_ROOM_SOUND,
09-0009.74-breath_or_room_sound.wav,9.74,10.62,0.879999999999999,outputs.,But,-21.320898404200218,0.8514140248298645,0.27,BREATH_OR_ROOM_SOUND,
10-0108.38-breath_or_room_sound.wav,108.38,108.8,0.4200000000000017,"interests,",and,-21.54733240454088,0.3441368341445923,0.27,BREATH_OR_ROOM_SOUND,
11-0027.56-breath_or_room_sound.wav,27.56,28.06,0.5,"identical,",down,-20.454486530634924,0.7942220568656921,0.21,BREATH_OR_ROOM_SOUND,
12-0002.52-breath_or_room_sound.wav,2.52,3.3,0.7799999999999998,"calculator,",you,-21.054162233166625,0.16715702414512634,0.36,BREATH_OR_ROOM_SOUND,
13-0107.56-breath_or_room_sound.wav,107.56,107.94,0.37999999999999545,"name,",your,-15.050019709993245,0.11820915341377258,0.3,BREATH_OR_ROOM_SOUND,
14-0023.44-breath_or_room_sound.wav,23.44,25.16,1.7199999999999989,college?,These,-27.803608350537576,0.25069957971572876,0.55,BREATH_OR_ROOM_SOUND,
15-0036.82-breath_or_room_sound.wav,36.82,37.38,0.5600000000000023,answers.,While,-21.12686113729545,0.9069264531135559,0.14,BREATH_OR_ROOM_SOUND,
16-0091.22-breath_or_room_sound.wav,91.22,91.54,0.3200000000000074,"prompt,",what,-21.943642144313593,0.4859539270401001,0.16,BREATH_OR_ROOM_SOUND,
17-0140.16-breath_or_room_sound.wav,140.16,140.62,0.46000000000000796,"chat,",a,-21.558715953332737,0.30142173171043396,0.12,BREATH_OR_ROOM_SOUND,
18-0114.92-breath_or_room_sound.wav,114.92,115.38,0.45999999999999375,"keeping,",building,-21.303829957412592,0.13821670413017273,0.41000000000000003,BREATH_OR_ROOM_SOUND,
19-0013.66-breath_or_room_sound.wav,13.66,14.24,0.5800000000000001,rules.,Consider,-21.482790088967604,0.9951614141464233,0.11,BREATH_OR_ROOM_SOUND,
20-0158.18-breath_or_room_sound.wav,158.18,159.08,0.9000000000000057,doors.,Understanding,-23.176015378774622,0.5249762535095215,0.18,BREATH_OR_ROOM_SOUND,
