clip,start,end,duration,left_word,right_word,gap_dbfs,peak_delta,active_seconds,guess,decision
01-0120.88-breath_or_room_sound.wav,120.88,121.76,0.8800000000000097,clear.,Abandon,-16.907839853887783,0.22459562122821808,0.34,BREATH_OR_ROOM_SOUND,
02-0105.12-breath_or_room_sound.wav,105.12,105.92,0.7999999999999972,"well,",mastering,-19.012618118755388,0.6602600812911987,0.28,BREATH_OR_ROOM_SOUND,
03-0083.04-breath_or_room_sound.wav,83.04,83.68,0.6400000000000006,"professional,",and,-20.576514581672125,0.3005366325378418,0.29,BREATH_OR_ROOM_SOUND,
04-0099.48-breath_or_room_sound.wav,99.48,99.68,0.20000000000000284,"First,",know,-18.8226255904764,0.9287623167037964,0.16,BREATH_OR_ROOM_SOUND,
05-0066.36-breath_or_room_sound.wav,66.36,67.16,0.7999999999999972,results.,If,-20.042592647879488,0.773611307144165,0.22,BREATH_OR_ROOM_SOUND,
06-0068.50-breath_or_room_sound.wav,68.5,69.12,0.6200000000000045,"constant,",the,-20.468796046607775,0.6113924384117126,0.24,BREATH_OR_ROOM_SOUND,
07-0103.38-breath_or_room_sound.wav,103.38,104.34,0.960000000000008,well.,"Second,",-21.300895892499177,1.0578160285949707,0.26,BREATH_OR_ROOM_SOUND,
08-0109.24-breath_or_room_sound.wav,109.24,109.94,0.7000000000000028,trust.,Interrogating,-20.975701586912933,0.5027501583099365,0.21,BREATH_OR_ROOM_SOUND,
09-0041.04-breath_or_room_sound.wav,41.04,42.02,0.980000000000004,discrepancy.,Some,-24.054148475530614,0.8075590133666992,0.28,BREATH_OR_ROOM_SOUND,
10-0108.00-breath_or_room_sound.wav,108.0,108.32,0.3199999999999932,"Finally,",think,-17.75497471374161,0.13475185632705688,0.27,BREATH_OR_ROOM_SOUND,
11-0013.54-breath_or_room_sound.wav,13.54,14.1,0.5600000000000005,"returns,",resist,-22.830571073075486,0.7662763595581055,0.17,BREATH_OR_ROOM_SOUND,
12-0062.50-breath_or_room_sound.wav,62.5,62.88,0.38000000000000256,"next,",the,-25.24036312505631,0.5069532990455627,0.29,BREATH_OR_ROOM_SOUND,
13-0050.90-breath_or_room_sound.wav,50.9,51.18,0.28000000000000114,"critical,",often,-17.96707214948325,0.13347361981868744,0.22,BREATH_OR_ROOM_SOUND,
14-0098.40-breath_or_room_sound.wav,98.4,99.42,1.019999999999996,framework.,"First,",-22.64644472551254,0.16238780319690704,0.3,BREATH_OR_ROOM_SOUND,
15-0016.86-breath_or_room_sound.wav,16.86,17.62,0.7600000000000016,logic.,Bring,-23.89170251050006,0.3667961359024048,0.17,BREATH_OR_ROOM_SOUND,
16-0091.22-breath_or_room_sound.wav,91.22,91.94,0.7199999999999989,photos.,AI,-25.39292308129259,0.6238446831703186,0.19,BREATH_OR_ROOM_SOUND,
17-0104.34-breath_or_room_sound.wav,104.34,104.58,0.23999999999999488,"Second,",use,-17.865746607635383,0.1160382628440857,0.2,BREATH_OR_ROOM_SOUND,
18-0111.94-breath_or_room_sound.wav,111.94,112.72,0.7800000000000011,facts.,Mastering,-27.523136786146488,0.5180494785308838,0.17,BREATH_OR_ROOM_SOUND,
19-0011.72-breath_or_room_sound.wav,11.72,12.56,0.8399999999999999,prompt.,When,-25.978060521826606,0.1838657408952713,0.1,BREATH_OR_ROOM_SOUND,
20-0044.24-breath_or_room_sound.wav,44.24,44.36,0.11999999999999744,"-level,",nuanced,-15.532753457052626,0.06041010469198227,0.12,BREATH_OR_ROOM_SOUND,
21-0002.06-breath_or_room_sound.wav,2.06,2.62,0.56,"AI,",the,-22.634440946676705,0.09005016088485718,0.32,BREATH_OR_ROOM_SOUND,
22-0049.00-breath_or_room_sound.wav,49.0,49.9,0.8999999999999986,filler.,Here,-24.25777978031398,0.13355913758277893,0.18,BREATH_OR_ROOM_SOUND,
23-0015.60-breath_or_room_sound.wav,15.6,16.34,0.7400000000000002,paste.,Check,-30.62339896162216,0.5316005349159241,0.13,BREATH_OR_ROOM_SOUND,
