clip,start,end,duration,left_word,right_word,gap_dbfs,peak_delta,active_seconds,guess,decision
01-0167.90-breath_or_room_sound.wav,167.9,168.48,0.5799999999999841,"workspace,",but,-19.928961906603956,0.7692367434501648,0.42,BREATH_OR_ROOM_SOUND,
02-0146.42-breath_or_room_sound.wav,146.42,146.84,0.4200000000000159,"17,",the,-17.823616542600863,0.2629779577255249,0.3,BREATH_OR_ROOM_SOUND,
03-0151.06-breath_or_room_sound.wav,151.06,151.38,0.3199999999999932,"Lastly,",you'll,-17.69784174379882,0.7289198637008667,0.24,BREATH_OR_ROOM_SOUND,
04-0078.40-breath_or_room_sound.wav,78.4,79.0,0.5999999999999943,expand.,The,-22.790304888550814,0.2815752327442169,0.42,BREATH_OR_ROOM_SOUND,
05-0099.28-breath_or_room_sound.wav,99.28,99.44,0.1599999999999966,"First,",we,-17.668695912818116,0.45834434032440186,0.16,BREATH_OR_ROOM_SOUND,
06-0126.02-breath_or_room_sound.wav,126.02,126.68,0.6600000000000108,advantage.,Getting,-20.099265740969837,0.6077170968055725,0.24,BREATH_OR_ROOM_SOUND,
07-0071.02-breath_or_room_sound.wav,71.02,71.76,0.7400000000000091,commands.,On,-21.70068992615073,0.39646443724632263,0.32,BREATH_OR_ROOM_SOUND,
08-0091.76-breath_or_room_sound.wav,91.76,92.76,1.0,jerseys.,Here,-25.365850466253434,0.52829909324646,0.53,BREATH_OR_ROOM_SOUND,
09-0114.20-breath_or_room_sound.wav,114.2,114.82,0.6199999999999903,"produce,",and,-20.398351099103987,0.6379535794258118,0.23,BREATH_OR_ROOM_SOUND,
10-0163.24-breath_or_room_sound.wav,163.24,163.8,0.5600000000000023,"course,",being,-20.573116652102627,0.7833822965621948,0.22,BREATH_OR_ROOM_SOUND,
11-0012.86-breath_or_room_sound.wav,12.86,13.46,0.6000000000000014,prompts.,We're,-20.64315072564703,0.7119961380958557,0.19,BREATH_OR_ROOM_SOUND,
12-0108.40-breath_or_room_sound.wav,108.4,109.04,0.6400000000000006,inputs.,From,-21.265816464589925,0.7388870716094971,0.22,BREATH_OR_ROOM_SOUND,
13-0067.22-breath_or_room_sound.wav,67.22,68.08,0.8599999999999994,workforce.,On,-23.066928019956304,0.5565521717071533,0.3,BREATH_OR_ROOM_SOUND,
14-0040.36-breath_or_room_sound.wav,40.36,41.5,1.1400000000000006,yourself.,We're,-23.10462111212277,0.37151533365249634,0.23,BREATH_OR_ROOM_SOUND,
15-0098.22-breath_or_room_sound.wav,98.22,99.04,0.8200000000000074,phases.,"First,",-23.86583755472108,0.6267052888870239,0.24,BREATH_OR_ROOM_SOUND,
16-0024.22-breath_or_room_sound.wav,24.22,24.72,0.5,"pace,",or,-24.570184110359325,0.4217345118522644,0.27,BREATH_OR_ROOM_SOUND,
17-0104.44-breath_or_room_sound.wav,104.44,104.92,0.480000000000004,"Understand,",where,-20.47057227986574,0.14288955926895142,0.31,BREATH_OR_ROOM_SOUND,
18-0129.26-breath_or_room_sound.wav,129.26,129.7,0.4399999999999977,frictionless.,There's,-23.28291950310294,0.7363446950912476,0.13,BREATH_OR_ROOM_SOUND,
19-0102.18-breath_or_room_sound.wav,102.18,103.16,0.9799999999999898,effectively.,Then,-24.577293876495418,0.31452804803848267,0.17,BREATH_OR_ROOM_SOUND,
20-0149.92-breath_or_room_sound.wav,149.92,150.66,0.7400000000000091,experience.,"Lastly,",-26.004974891736644,0.5128870010375977,0.23,BREATH_OR_ROOM_SOUND,
21-0046.90-breath_or_room_sound.wav,46.9,47.48,0.5799999999999983,careers.,So,-24.933183659806488,0.47500360012054443,0.16,BREATH_OR_ROOM_SOUND,
22-0152.72-breath_or_room_sound.wav,152.72,153.26,0.539999999999992,account.,We'll,-24.61628352798282,0.331332266330719,0.12,BREATH_OR_ROOM_SOUND,
23-0120.16-breath_or_room_sound.wav,120.16,120.86,0.7000000000000028,Build.,This,-24.84793021212747,0.3138194680213928,0.12,BREATH_OR_ROOM_SOUND,
24-0064.80-breath_or_room_sound.wav,64.8,65.3,0.5,"stronger,",a,-18.12252503089255,0.09000933170318604,0.32,BREATH_OR_ROOM_SOUND,
25-0002.64-breath_or_room_sound.wav,2.64,3.5,0.8599999999999999,AI.,Most,-20.86328461381826,0.1240973174571991,0.23,BREATH_OR_ROOM_SOUND,
26-0083.30-breath_or_room_sound.wav,83.3,83.96,0.6599999999999966,divide.,To,-21.84286225552492,0.12919925153255463,0.22,BREATH_OR_ROOM_SOUND,
27-0075.08-breath_or_room_sound.wav,75.08,75.82,0.7399999999999949,logic.,That,-27.664709114133093,0.34250524640083313,0.13,BREATH_OR_ROOM_SOUND,
28-0143.78-breath_or_room_sound.wav,143.78,144.74,0.960000000000008,teens.,If,-19.838631680166618,0.11291375756263733,0.17,BREATH_OR_ROOM_SOUND,
29-0060.20-breath_or_room_sound.wav,60.2,60.6,0.3999999999999986,"tool,",or,-18.18079508882223,0.06692400574684143,0.27,BREATH_OR_ROOM_SOUND,
30-0057.30-breath_or_room_sound.wav,57.3,57.74,0.44000000000000483,"shallow,",focused,-23.04774461303638,0.10430344939231873,0.31,BREATH_OR_ROOM_SOUND,
31-0027.78-breath_or_room_sound.wav,27.78,28.02,0.23999999999999844,"way,",there's,-19.114031625535606,0.08661984652280807,0.18,BREATH_OR_ROOM_SOUND,
32-0026.64-breath_or_room_sound.wav,26.64,27.2,0.5599999999999987,summaries.,Either,-29.895195029817838,0.377760112285614,0.1,BREATH_OR_ROOM_SOUND,
33-0109.46-breath_or_room_sound.wav,109.46,109.76,0.30000000000001137,"there,",you,-20.825966619178757,0.08494281768798828,0.22,BREATH_OR_ROOM_SOUND,
34-0010.38-breath_or_room_sound.wav,10.38,11.26,0.879999999999999,underneath.,We're,-21.164927657205176,0.08304858207702637,0.24,BREATH_OR_ROOM_SOUND,
35-0084.62-breath_or_room_sound.wav,84.62,85.18,0.5600000000000023,"simply,",be,-20.537443968283085,0.07005783170461655,0.21,BREATH_OR_ROOM_SOUND,
36-0042.46-breath_or_room_sound.wav,42.46,42.94,0.4799999999999969,Nate.,A,-31.16128005451142,0.33508849143981934,0.09,BREATH_OR_ROOM_SOUND,
37-0119.04-breath_or_room_sound.wav,119.04,119.36,0.3199999999999932,"Finally,",we,-21.019704847279247,0.04592403769493103,0.28,BREATH_OR_ROOM_SOUND,
38-0086.42-breath_or_room_sound.wav,86.42,87.18,0.7600000000000051,tool.,You'll,-22.39566779400122,0.08374632894992828,0.15,BREATH_OR_ROOM_SOUND,
39-0029.56-blip_candidate.wav,29.56,30.12,0.5600000000000023,requirement.,Finish,-33.1987072577226,0.24544265866279602,0.07,BLIP_CANDIDATE,
40-0089.52-breath_or_room_sound.wav,89.52,89.84,0.3200000000000074,"go,",usually,-22.65828650451234,0.07518993318080902,0.15,BREATH_OR_ROOM_SOUND,
