clip,start,end,duration,left_word,right_word,gap_dbfs,peak_delta,active_seconds,guess,decision
01-0050.96-breath_or_room_sound.wav,50.96,51.46,0.5,"is,",what,-21.035889506356167,0.45603302121162415,0.3,BREATH_OR_ROOM_SOUND,
02-0001.10-breath_or_room_sound.wav,1.1,2.02,0.9199999999999999,constantly.,AI,-24.05042198488477,0.6891252994537354,0.4,BREATH_OR_ROOM_SOUND,
03-0106.84-breath_or_room_sound.wav,106.84,107.44,0.5999999999999943,list.,Building,-22.959841889780282,0.5529309511184692,0.31,BREATH_OR_ROOM_SOUND,
04-0112.72-breath_or_room_sound.wav,112.72,113.68,0.960000000000008,expertise.,Pick,-23.378775600798612,0.6702326536178589,0.32,BREATH_OR_ROOM_SOUND,
05-0076.28-breath_or_room_sound.wav,76.28,76.68,0.4000000000000057,"focus,",how,-23.822510780672047,0.44031548500061035,0.32,BREATH_OR_ROOM_SOUND,
06-0121.28-breath_or_room_sound.wav,121.28,121.74,0.45999999999999375,"users,",depth,-21.43655825732995,0.37885481119155884,0.2,BREATH_OR_ROOM_SOUND,
07-0084.30-breath_or_room_sound.wav,84.3,84.9,0.6000000000000085,"noise,",a,-22.855358533648158,0.6615667343139648,0.26,BREATH_OR_ROOM_SOUND,
08-0136.00-breath_or_room_sound.wav,136.0,136.5,0.5,"process,",you're,-23.21698489320889,0.4567629098892212,0.22,BREATH_OR_ROOM_SOUND,
09-0003.24-breath_or_room_sound.wav,3.24,4.12,0.8799999999999999,jobs.,That,-24.651329730270426,0.7115955352783203,0.25,BREATH_OR_ROOM_SOUND,
10-0071.68-breath_or_room_sound.wav,71.68,72.16,0.47999999999998977,bot.,But,-25.67490029326389,0.2978866994380951,0.29,BREATH_OR_ROOM_SOUND,
11-0065.20-breath_or_room_sound.wav,65.2,65.78,0.5799999999999983,"headlines,",how,-25.20017471165588,0.42015719413757324,0.26,BREATH_OR_ROOM_SOUND,
12-0007.02-breath_or_room_sound.wav,7.02,7.8,0.7800000000000002,news.,But,-25.11121004636488,0.720832109451294,0.24,BREATH_OR_ROOM_SOUND,
13-0091.90-breath_or_room_sound.wav,91.9,92.58,0.6799999999999926,leverage.,It,-24.740446374596225,0.46989548206329346,0.2,BREATH_OR_ROOM_SOUND,
14-0005.44-breath_or_room_sound.wav,5.44,6.24,0.7999999999999998,prediction.,"Now,",-26.140600488146,0.2805868685245514,0.27,BREATH_OR_ROOM_SOUND,
15-0143.38-breath_or_room_sound.wav,143.38,143.98,0.5999999999999943,hardest.,Close,-25.035975894318824,0.5395679473876953,0.21,BREATH_OR_ROOM_SOUND,
16-0137.68-breath_or_room_sound.wav,137.68,138.18,0.5,"answers,",and,-25.20180168868788,0.4548349976539612,0.2,BREATH_OR_ROOM_SOUND,
17-0147.02-breath_or_room_sound.wav,147.02,147.46,0.4399999999999977,"published,",but,-25.497257576797136,0.3376232981681824,0.2,BREATH_OR_ROOM_SOUND,
