clip,start,end,duration,left_word,right_word,gap_dbfs,peak_delta,active_seconds,guess,decision
01-0087.12-breath_or_room_sound.wav,87.12,87.74,0.6199999999999903,"navigation,","music,",-16.607347099158474,0.2774187922477722,0.5700000000000001,BREATH_OR_ROOM_SOUND,
02-0087.86-breath_or_room_sound.wav,87.86,88.68,0.8200000000000074,"music,","security,",-20.324463093895808,0.2876259684562683,0.5,BREATH_OR_ROOM_SOUND,
03-0156.92-breath_or_room_sound.wav,156.92,157.46,0.5400000000000205,"computers,",graphic,-21.62723121278797,0.22386831045150757,0.51,BREATH_OR_ROOM_SOUND,
04-0138.26-breath_or_room_sound.wav,138.26,138.86,0.6000000000000227,"habits,",give,-19.205288111968613,0.43907660245895386,0.36,BREATH_OR_ROOM_SOUND,
05-0092.40-breath_or_room_sound.wav,92.4,93.22,0.8199999999999932,prediction.,Because,-22.549910663999068,0.3582569360733032,0.59,BREATH_OR_ROOM_SOUND,
06-0217.26-breath_or_room_sound.wav,217.26,217.8,0.5400000000000205,"revolution,",an,-18.939851701446006,0.18896254897117615,0.35000000000000003,BREATH_OR_ROOM_SOUND,
07-0194.02-breath_or_room_sound.wav,194.02,194.92,0.8999999999999773,information.,AI,-20.984388149986227,0.38499265909194946,0.3,BREATH_OR_ROOM_SOUND,
08-0002.96-breath_or_room_sound.wav,2.96,4.0,1.04,1500.,Every,-24.450678510397257,0.2348993569612503,0.47000000000000003,BREATH_OR_ROOM_SOUND,
09-0218.64-breath_or_room_sound.wav,218.64,219.34,0.700000000000017,"revolution,",and,-23.399874670466314,0.18175137042999268,0.36,BREATH_OR_ROOM_SOUND,
10-0196.86-breath_or_room_sound.wav,196.86,197.7,0.839999999999975,progression.,It,-23.61585881407367,0.3545821011066437,0.25,BREATH_OR_ROOM_SOUND,
11-0115.68-breath_or_room_sound.wav,115.68,116.54,0.8599999999999994,lands.,You'll,-28.97874602270498,0.3858049511909485,0.48,BREATH_OR_ROOM_SOUND,
12-0189.76-breath_or_room_sound.wav,189.76,190.6,0.8400000000000034,production.,And,-23.459752733381638,0.2883615493774414,0.2,BREATH_OR_ROOM_SOUND,
13-0220.04-breath_or_room_sound.wav,220.04,220.44,0.4000000000000057,"renaissance,",all,-24.487825249015415,0.26685214042663574,0.25,BREATH_OR_ROOM_SOUND,
14-0033.50-breath_or_room_sound.wav,33.5,34.08,0.5799999999999983,press.,Run,-23.57575361441048,0.34292685985565186,0.2,BREATH_OR_ROOM_SOUND,
15-0140.38-breath_or_room_sound.wav,140.38,140.84,0.46000000000000796,"fast,",and,-24.071057919888,0.4301128685474396,0.19,BREATH_OR_ROOM_SOUND,
16-0117.50-breath_or_room_sound.wav,117.5,118.5,1.0,faster.,Before,-25.4395215915676,0.6681157350540161,0.25,BREATH_OR_ROOM_SOUND,
17-0091.72-breath_or_room_sound.wav,91.72,92.22,0.5,"function,",prediction.,-24.841528081268685,0.3482420742511749,0.19,BREATH_OR_ROOM_SOUND,
18-0202.24-breath_or_room_sound.wav,202.24,202.8,0.5600000000000023,imagine.,In,-24.68377353631743,0.5118247270584106,0.16,BREATH_OR_ROOM_SOUND,
19-0070.00-breath_or_room_sound.wav,70.0,70.5,0.5,"Alexa,",and,-24.949577775396918,0.2364097237586975,0.17,BREATH_OR_ROOM_SOUND,
20-0088.68-breath_or_room_sound.wav,88.68,89.1,0.4199999999999875,"security,",and,-17.838830944000534,0.0957549437880516,0.33,BREATH_OR_ROOM_SOUND,
21-0120.60-breath_or_room_sound.wav,120.6,121.16,0.5600000000000023,this.,Spend,-24.70246133558573,0.5499998331069946,0.14,BREATH_OR_ROOM_SOUND,
22-0113.56-breath_or_room_sound.wav,113.56,114.06,0.5,"happens,",and,-25.54778400774572,0.652755081653595,0.18,BREATH_OR_ROOM_SOUND,
23-0124.48-breath_or_room_sound.wav,124.48,125.26,0.7800000000000011,ladder.,Then,-23.968761392959653,0.16661661863327026,0.22,BREATH_OR_ROOM_SOUND,
24-0221.48-breath_or_room_sound.wav,221.48,222.66,1.1800000000000068,once.,AI,-33.112699377533644,0.2588457465171814,0.46,BREATH_OR_ROOM_SOUND,
25-0224.46-breath_or_room_sound.wav,224.46,225.2,0.7399999999999807,press.,The,-27.52095525026735,0.3687780797481537,0.16,BREATH_OR_ROOM_SOUND,
26-0043.74-breath_or_room_sound.wav,43.74,44.16,0.4199999999999946,"years,",quietly,-31.497549523686033,0.19425293803215027,0.37,BREATH_OR_ROOM_SOUND,
27-0055.56-breath_or_room_sound.wav,55.56,55.94,0.37999999999999545,"Maps,",and,-27.36506728362091,0.28902187943458557,0.13,BREATH_OR_ROOM_SOUND,
28-0208.80-breath_or_room_sound.wav,208.8,209.2,0.39999999999997726,"Race,",America's,-28.282051112820103,0.21748819947242737,0.17,BREATH_OR_ROOM_SOUND,
29-0181.54-breath_or_room_sound.wav,181.54,182.36,0.8200000000000216,repeatedly.,The,-24.2413083932041,0.0877610296010971,0.73,BREATH_OR_ROOM_SOUND,
30-0049.24-breath_or_room_sound.wav,49.24,49.86,0.6199999999999974,"Netflix,",AI,-29.074848747114608,0.2940675914287567,0.18,BREATH_OR_ROOM_SOUND,
31-0078.50-breath_or_room_sound.wav,78.5,79.18,0.6800000000000068,"Claude,",the,-20.993532664311253,0.08726148307323456,0.25,BREATH_OR_ROOM_SOUND,
