clip,start,end,duration,left_word,right_word,gap_dbfs,peak_delta,active_seconds,guess,decision
01-0207.98-breath_or_room_sound.wav,207.98,208.4,0.4200000000000159,"change,",or,-14.497854225016486,0.4523940086364746,0.39,BREATH_OR_ROOM_SOUND,
02-0218.34-breath_or_room_sound.wav,218.34,219.24,0.9000000000000057,"evaluation,",building,-19.840852656484692,0.5757113695144653,0.58,BREATH_OR_ROOM_SOUND,
03-0063.54-breath_or_room_sound.wav,63.54,64.24,0.6999999999999957,ownership.,AI,-20.326895656606347,0.2945845425128937,0.58,BREATH_OR_ROOM_SOUND,
04-0082.96-breath_or_room_sound.wav,82.96,83.48,0.5200000000000102,"2015,",headlines,-16.407169497420067,0.455716997385025,0.29,BREATH_OR_ROOM_SOUND,
05-0105.58-breath_or_room_sound.wav,105.58,105.92,0.3400000000000034,"pounds,",pass,-16.494383118687303,0.5477357506752014,0.27,BREATH_OR_ROOM_SOUND,
06-0187.70-breath_or_room_sound.wav,187.7,188.36,0.660000000000025,"exceptions,",and,-19.33109383383066,0.6981889009475708,0.4,BREATH_OR_ROOM_SOUND,
07-0230.02-breath_or_room_sound.wav,230.02,230.46,0.4399999999999977,"instant,","smooth,",-17.219928283311244,0.9450318217277527,0.26,BREATH_OR_ROOM_SOUND,
08-0246.26-breath_or_room_sound.wav,246.26,246.72,0.46000000000000796,"sharper,",more,-18.839681898060196,0.2272302359342575,0.32,BREATH_OR_ROOM_SOUND,
09-0205.76-breath_or_room_sound.wav,205.76,206.16,0.4000000000000057,"options,",but,-18.83852547492855,0.7819923162460327,0.29,BREATH_OR_ROOM_SOUND,
10-0047.62-breath_or_room_sound.wav,47.62,48.08,0.46000000000000085,"operators,",and,-22.771133928811018,0.7052086591720581,0.41000000000000003,BREATH_OR_ROOM_SOUND,
11-0221.76-breath_or_room_sound.wav,221.76,222.64,0.8799999999999955,information.,This,-22.99091228988331,0.4061657190322876,0.42,BREATH_OR_ROOM_SOUND,
12-0005.78-breath_or_room_sound.wav,5.78,6.12,0.33999999999999986,"fact,",the,-18.565511789189593,0.3893272280693054,0.17,BREATH_OR_ROOM_SOUND,
