clip,start,end,duration,left_word,right_word,gap_dbfs,peak_delta,active_seconds,guess,decision
01-0078.24-breath_or_room_sound.wav,78.24,78.86,0.6200000000000045,Pepsi.,We'll,-18.538484122066627,0.9724088311195374,0.5700000000000001,BREATH_OR_ROOM_SOUND,
02-0104.98-breath_or_room_sound.wav,104.98,105.4,0.4200000000000017,"change,",the,-15.154569835890353,0.3228589594364166,0.33,BREATH_OR_ROOM_SOUND,
03-0064.72-breath_or_room_sound.wav,64.72,65.2,0.480000000000004,"dimension,",and,-17.106033763613386,0.4826083183288574,0.4,BREATH_OR_ROOM_SOUND,
04-0148.60-breath_or_room_sound.wav,148.6,149.42,0.8199999999999932,"9246,",which,-20.104954681846525,0.7603830099105835,0.65,BREATH_OR_ROOM_SOUND,
05-0007.16-breath_or_room_sound.wav,7.16,8.26,1.0999999999999996,9246.,But,-20.124197939531534,1.0345065593719482,0.98,BREATH_OR_ROOM_SOUND,
06-0001.78-breath_or_room_sound.wav,1.78,2.3,0.5199999999999998,"text,",it,-18.014433262170645,0.9262769222259521,0.29,BREATH_OR_ROOM_SOUND,
07-0169.92-breath_or_room_sound.wav,169.92,170.65,0.7300000000000182,pieces.,If,-22.370371694865536,0.5843328237533569,0.66,BREATH_OR_ROOM_SOUND,
08-0159.92-breath_or_room_sound.wav,159.92,160.56,0.6400000000000148,"parameters,",and,-17.753674308951783,0.7204614877700806,0.26,BREATH_OR_ROOM_SOUND,
09-0085.46-breath_or_room_sound.wav,85.46,85.88,0.4200000000000017,"dimensions,",Pepsi,-18.255733365675685,0.29760265350341797,0.21,BREATH_OR_ROOM_SOUND,
10-0107.74-breath_or_room_sound.wav,107.74,108.08,0.3400000000000034,"different,",the,-18.126614098910284,0.2878535985946655,0.19,BREATH_OR_ROOM_SOUND,
11-0073.92-breath_or_room_sound.wav,73.92,74.1,0.1799999999999926,"does,",only,-17.786431927325403,0.6195336580276489,0.17,BREATH_OR_ROOM_SOUND,
12-0097.72-breath_or_room_sound.wav,97.72,98.64,0.9200000000000017,citrus.,Pepsi,-20.989476943935593,0.3171052038669586,0.32,BREATH_OR_ROOM_SOUND,
