clip,start,end,duration,left_word,right_word,gap_dbfs,peak_delta,active_seconds,guess,decision
01-0096.60-breath_or_room_sound.wav,96.6,97.22,0.6200000000000045,coordinates.,Because,-18.307857975088112,0.975216269493103,0.56,BREATH_OR_ROOM_SOUND,
02-0195.34-breath_or_room_sound.wav,195.34,195.64,0.29999999999998295,"list,",the,-14.831784571222805,0.9688340425491333,0.17,BREATH_OR_ROOM_SOUND,
03-0172.22-breath_or_room_sound.wav,172.22,172.74,0.5200000000000102,"grows,",the,-18.84319645827069,0.6573293209075928,0.27,BREATH_OR_ROOM_SOUND,
04-0114.92-breath_or_room_sound.wav,114.92,115.4,0.480000000000004,"location,",immediately,-22.71682688421817,0.3700874447822571,0.45,BREATH_OR_ROOM_SOUND,
05-0017.54-breath_or_room_sound.wav,17.54,18.22,0.6799999999999997,"suggestions,","soon,",-22.12959110888541,0.5092469453811646,0.41000000000000003,BREATH_OR_ROOM_SOUND,
06-0203.32-breath_or_room_sound.wav,203.32,204.02,0.700000000000017,words.,No,-18.544831651341873,1.1620595455169678,0.23,BREATH_OR_ROOM_SOUND,
07-0212.40-breath_or_room_sound.wav,212.4,213.12,0.7199999999999989,mechanism.,They,-20.70080847991234,1.0794835090637207,0.32,BREATH_OR_ROOM_SOUND,
08-0229.64-breath_or_room_sound.wav,229.64,230.24,0.6000000000000227,process.,That,-19.473497529822964,0.9101986885070801,0.25,BREATH_OR_ROOM_SOUND,
09-0227.28-breath_or_room_sound.wav,227.28,227.86,0.5800000000000125,"rankings,",is,-20.660272121771794,0.9298593401908875,0.3,BREATH_OR_ROOM_SOUND,
10-0001.66-breath_or_room_sound.wav,1.66,2.06,0.40000000000000013,"message,",your,-20.170068166532005,0.21929265558719635,0.26,BREATH_OR_ROOM_SOUND,
11-0098.64-breath_or_room_sound.wav,98.64,99.06,0.4200000000000017,"changed,",every,-19.149440338883583,0.48637712001800537,0.2,BREATH_OR_ROOM_SOUND,
12-0164.22-breath_or_room_sound.wav,164.22,165.02,0.8000000000000114,prediction.,The,-21.42118038153876,0.5329132676124573,0.31,BREATH_OR_ROOM_SOUND,
