clip,start,end,duration,left_word,right_word,gap_dbfs,peak_delta,active_seconds,guess,decision
01-0041.70-breath_or_room_sound.wav,41.7,42.32,0.6199999999999974,"slang,","typos,",-16.04437489937751,0.29970863461494446,0.37,BREATH_OR_ROOM_SOUND,
02-0187.14-breath_or_room_sound.wav,187.14,193.66,6.52000000000001,unbelievable.,Brand,-18.889272576263707,0.6038171648979187,5.3,BREATH_OR_ROOM_SOUND,
03-0115.34-breath_or_room_sound.wav,115.34,116.56,1.2199999999999989,vocabulary.,ChatGPT's,-19.80623373854588,0.7470675110816956,0.55,BREATH_OR_ROOM_SOUND,
04-0163.68-breath_or_room_sound.wav,163.68,164.48,0.799999999999983,9246.,At,-20.494956277167745,0.4122472405433655,0.53,BREATH_OR_ROOM_SOUND,
05-0041.02-breath_or_room_sound.wav,41.02,41.54,0.519999999999996,"names,","slang,",-16.555329770464443,0.3764166831970215,0.28,BREATH_OR_ROOM_SOUND,
06-0107.98-breath_or_room_sound.wav,107.98,108.42,0.4399999999999977,"emoji,",or,-19.10072987625067,0.3815215826034546,0.34,BREATH_OR_ROOM_SOUND,
07-0105.30-breath_or_room_sound.wav,105.3,105.76,0.46000000000000796,"fragment,",a,-18.73773745587205,0.28355851769447327,0.24,BREATH_OR_ROOM_SOUND,
08-0186.24-breath_or_room_sound.wav,186.24,187.02,0.7800000000000011,"parts,",unbelievable.,-19.647104812417453,0.6069278717041016,0.28,BREATH_OR_ROOM_SOUND,
09-0096.12-breath_or_room_sound.wav,96.12,96.72,0.5999999999999943,"tokenization,",and,-19.772165445179716,0.38582634925842285,0.28,BREATH_OR_ROOM_SOUND,
10-0090.26-breath_or_room_sound.wav,90.26,91.56,1.2999999999999972,tokens.,This,-24.30328817279749,0.7276675701141357,0.52,BREATH_OR_ROOM_SOUND,
11-0131.66-breath_or_room_sound.wav,131.66,132.38,0.7199999999999989,text.,Once,-23.350782240895157,0.4069784879684448,0.43,BREATH_OR_ROOM_SOUND,
12-0210.40-breath_or_room_sound.wav,210.4,211.06,0.6599999999999966,"addresses,",are,-23.062901231056884,0.5079493522644043,0.38,BREATH_OR_ROOM_SOUND,
