clip,start,end,duration,left_word,right_word,gap_dbfs,peak_delta,active_seconds,guess,decision
01-0057.66-breath_or_room_sound.wav,57.66,58.3,0.6400000000000006,"agreeable,",and,-12.907640114253226,0.15617121756076813,0.52,BREATH_OR_ROOM_SOUND,
02-0058.62-breath_or_room_sound.wav,58.62,59.28,0.6600000000000037,"engaging,",providing,-15.845578801444187,0.4932593107223511,0.32,BREATH_OR_ROOM_SOUND,
03-0076.06-breath_or_room_sound.wav,76.06,76.52,0.45999999999999375,"waves,",you'll,-16.45964796230334,0.6128735542297363,0.35000000000000003,BREATH_OR_ROOM_SOUND,
04-0016.76-breath_or_room_sound.wav,16.76,17.9,1.139999999999997,break.,Standard,-16.802420904874733,0.7883471250534058,0.31,BREATH_OR_ROOM_SOUND,
05-0027.90-breath_or_room_sound.wav,27.9,28.34,0.4400000000000013,"confidence,",the,-20.46804479031472,0.7378678321838379,0.4,BREATH_OR_ROOM_SOUND,
06-0126.98-breath_or_room_sound.wav,126.98,128.06,1.0799999999999983,categories.,First,-20.870474794076962,1.0340027809143066,0.41000000000000003,BREATH_OR_ROOM_SOUND,
07-0066.16-breath_or_room_sound.wav,66.16,67.02,0.8599999999999994,inside.,The,-18.635089789354492,0.741176962852478,0.27,BREATH_OR_ROOM_SOUND,
08-0110.08-breath_or_room_sound.wav,110.08,110.52,0.4399999999999977,"current,",it's,-17.34860707429569,0.21806558966636658,0.2,BREATH_OR_ROOM_SOUND,
09-0164.18-breath_or_room_sound.wav,164.18,164.58,0.4000000000000057,"fails,",nothing,-18.80246332178519,0.730220377445221,0.25,BREATH_OR_ROOM_SOUND,
10-0033.06-breath_or_room_sound.wav,33.06,33.5,0.4399999999999977,"formatting,",the,-16.135371463352424,0.15973013639450073,0.31,BREATH_OR_ROOM_SOUND,
11-0097.66-breath_or_room_sound.wav,97.66,98.52,0.8599999999999994,dynamics.,It's,-20.381849368423932,0.7109615802764893,0.32,BREATH_OR_ROOM_SOUND,
12-0162.38-breath_or_room_sound.wav,162.38,163.32,0.9399999999999977,paradox.,When,-22.454798161390073,0.7358474731445312,0.39,BREATH_OR_ROOM_SOUND,
